Date,Open,High,Low,Close,Adj Close,Volume
2022-08-16,311.666656,314.666656,302.883331,306.563324,306.563324,88136400
2022-08-17,303.396667,309.656677,300.033325,303.996674,303.996674,68766000
2022-08-18,306.000000,306.500000,301.853333,302.869995,302.869995,47500500
2022-08-19,299.000000,300.359985,292.500000,296.666656,296.666656,61395300
2022-08-22,291.913330,292.399994,286.296661,289.913330,289.913330,55843200
2022-08-23,291.453339,298.826660,287.923340,296.453339,296.453339,63984900
2022-08-24,297.563324,303.646667,296.500000,297.096680,297.096680,57259800
2022-08-25,302.359985,302.959991,291.600006,296.070007,296.070007,53230000
2022-08-26,297.429993,302.000000,287.470001,288.089996,288.089996,57163900
2022-08-29,282.829987,287.739990,280.700012,284.820007,284.820007,41864700
2022-08-30,287.869995,288.480011,272.649994,277.700012,277.700012,50541800
2022-08-31,280.619995,281.250000,271.809998,275.609985,275.609985,52107300
2022-09-01,272.579987,277.579987,266.149994,277.160004,277.160004,54287000
2022-09-02,281.070007,282.350006,269.079987,270.209991,270.209991,50890100
2022-09-06,272.679993,275.989990,265.739990,274.420013,274.420013,55860000
2022-09-07,273.100006,283.839996,272.269989,283.700012,283.700012,50028900
2022-09-08,281.299988,289.500000,279.760010,289.260010,289.260010,53713100
2022-09-09,291.670013,299.850006,291.250000,299.679993,299.679993,54338100
2022-09-12,300.720001,305.489990,300.399994,304.420013,304.420013,48674600
2022-09-13,292.899994,297.399994,290.399994,292.130005,292.130005,68229600
2022-09-14,292.239990,306.000000,291.640015,302.609985,302.609985,72628700
2022-09-15,301.829987,309.119995,300.720001,303.750000,303.750000,64795500
2022-09-16,299.609985,303.709991,295.600006,303.350006,303.350006,87087800
2022-09-19,300.089996,309.839996,297.799988,309.070007,309.070007,60231200
2022-09-20,306.910004,313.329987,305.579987,308.730011,308.730011,61642800
2022-09-21,308.290009,313.799988,300.630005,300.799988,300.799988,62555700
2022-09-22,299.859985,301.290009,285.820007,288.589996,288.589996,70545400
2022-09-23,283.089996,284.500000,272.820007,275.329987,275.329987,63748400
2022-09-26,271.829987,284.089996,270.309998,276.010010,276.010010,58076900
2022-09-27,283.839996,288.670013,277.510010,282.940002,282.940002,61925200
2022-09-28,283.079987,289.000000,277.570007,287.809998,287.809998,54664800
2022-09-29,282.760010,283.649994,265.779999,268.209991,268.209991,77620600
2022-09-30,266.149994,275.570007,262.470001,265.250000,265.250000,67726600
2022-10-03,254.500000,255.160004,241.009995,242.399994,242.399994,98363500
2022-10-04,250.520004,257.500000,242.009995,249.440002,249.440002,109578500
2022-10-05,245.009995,246.669998,233.270004,240.809998,240.809998,86982700
2022-10-06,239.440002,244.580002,235.350006,238.130005,238.130005,69298400
2022-10-07,233.940002,234.570007,222.020004,223.070007,223.070007,83916800
2022-10-10,223.929993,226.990005,218.360001,222.960007,222.960007,67925000
2022-10-11,220.949997,225.750000,215.000000,216.500000,216.500000,77013200
2022-10-12,215.330002,219.300003,211.509995,217.240005,217.240005,66860700
2022-10-13,208.300003,222.990005,206.220001,221.720001,221.720001,91483000
2022-10-14,224.009995,226.259995,204.160004,204.990005,204.990005,94124500
2022-10-17,210.039993,221.860001,209.449997,219.350006,219.350006,79428800
2022-10-18,229.500000,229.820007,217.250000,220.190002,220.190002,75891900
2022-10-19,219.800003,222.929993,217.779999,222.039993,222.039993,66571500
2022-10-20,208.279999,215.550003,202.000000,207.279999,207.279999,117798100
2022-10-21,206.419998,214.660004,203.800003,214.440002,214.440002,75713800
2022-10-24,205.820007,213.500000,198.589996,211.250000,211.250000,100446800
2022-10-25,210.100006,224.350006,210.000000,222.419998,222.419998,96507900
2022-10-26,219.399994,230.600006,218.199997,224.639999,224.639999,85012500
2022-10-27,229.770004,233.809998,222.850006,225.089996,225.089996,61638800
2022-10-28,225.399994,228.860001,216.350006,228.520004,228.520004,69152400
2022-10-31,226.190002,229.850006,221.940002,227.539993,227.539993,61554300
2022-11-01,234.050003,237.399994,227.279999,227.820007,227.820007,62688800
2022-11-02,226.039993,227.869995,214.820007,214.979996,214.979996,63070300
2022-11-03,211.360001,221.199997,210.139999,215.309998,215.309998,56538800
2022-11-04,222.600006,223.800003,203.080002,207.470001,207.470001,98453100
2022-11-07,208.649994,208.899994,196.660004,197.080002,197.080002,93916500
2022-11-08,194.020004,195.199997,186.750000,191.300003,191.300003,128803400
2022-11-09,190.779999,195.889999,177.119995,177.589996,177.589996,127062700
2022-11-10,189.899994,191.000000,180.029999,190.720001,190.720001,132703000
2022-11-11,186.000000,196.520004,182.589996,195.970001,195.970001,114229200
2022-11-14,192.770004,195.729996,186.339996,190.949997,190.949997,92226600
2022-11-15,195.880005,200.820007,192.059998,194.419998,194.419998,91293800
